Time            ,Cm                ,Cd                ,Cl                
250.1472425,6.9307656577E-09,0.037141493701,-1.7716409798E-07
250.1476347,7.1976043446E-09,0.037139509872,-1.764123193E-07
250.1480269,7.2638680064E-09,0.037137531403,-1.7604535441E-07
250.1484191,7.6133620375E-09,0.037135558241,-1.751544559E-07
250.1488113,7.8479265095E-09,0.037133590369,-1.7449047162E-07
250.1492035,8.0835773659E-09,0.037131627756,-1.7380213726E-07
250.1495957,8.1576657915E-09,0.037129670384,-1.7341924786E-07
250.1499879,8.749824426E-09,0.037127718221,-1.7212499194E-07
250.1503801,8.6941089437E-09,0.037125771246,-1.7193935993E-07
250.1507723,8.824667469E-09,0.037123829434,-1.7147242619E-07
250.1511645,9.6144550074E-09,0.037121892759,-1.6980997289E-07
250.1515567,9.1177439605E-09,0.037119961199,-1.7043759986E-07
250.1519489,1.0137450265E-08,0.037118034727,-1.6837550757E-07
250.1523411,9.8137161211E-09,0.037116113322,-1.6869504746E-07
250.1527333,1.007325654E-08,0.037114196958,-1.6797608831E-07
250.1531255,1.0866676878E-08,0.037112285613,-1.6633270863E-07
250.1535177,1.0396702332E-08,0.037110379263,-1.6688850696E-07
250.1539099,1.1289090638E-08,0.037108477884,-1.6508679026E-07
250.1543021,1.1121979844E-08,0.037106581453,-1.651113327E-07
250.1546943,1.1584546456E-08,0.037104689962,-1.640583716E-07
250.1550865,1.159958647E-08,0.037102803342,-1.6375653098E-07
250.1554788,1.2127278807E-08,0.037100921625,-1.6259254941E-07
250.155871,1.2447469178E-08,0.037099044761,-1.617762483E-07
250.1562632,1.2239383618E-08,0.037097172731,-1.618784818E-07
250.1566554,1.3052356687E-08,0.037095305516,-1.6021447231E-07
250.1570476,1.2957568012E-08,0.03709344309,-1.6012080362E-07
250.1574398,1.3274619797E-08,0.037091585436,-1.5931493135E-07
250.157832,1.383207541E-08,0.037089732527,-1.5809326107E-07
